,Model No.,Outer dimensions_Height M,Width W,Length L,LM block dimensions_B,C,C2,S,H,l1,l2,L1,T,T1,K,N,E,eo,fo,Do,Grease nipple,H3,LM rail dimensions_Width W1 0 -0.05,W2,Height M1,Pitch_F,d1× d2 Xh,Length*_Max,Basic load rating_C_kN,Co kN,Static permissible moment kN·m*_MA_1 block,Double blocks,MB_1 block,Double blocks,Mc_1 block,Mass_LM block_kg,LM rail_kg\/m
0,SRG 35C SRG 35GC,48,100,125,82,62,52,M10,8.5,,,82.2,11.5,10,42,6.5,12,6,6,5.2,B-M6F,6,34,33,30,40,9×14×12,3000,59.1 55.3,119 131,1.66 1.77,10.1 11.1,1.66 1.77,10.1 11.1,2.39 2.69,1.9,6.9
1,SRG 35LC SRG 35GLC,48,100,155,82,62,52,M10,8.5,,,112.2,11.5,10,42,6.5,12,6,6,5.2,B-M6F,6,34,33,30,40,9×14×12,3000,76 71.4,165 182,3.13 3.39,17 18.8,3.13 3.39,17 18.8,3.31 3.74,2.4,6.9
2,SRG 35SLC SRG 35GSLC,48,100,180.8,82,100,,M10,8.5,,,138,11.5,10,42,6.5,12,6,6,5.2,B-M6F,6,34,33,30,40,9×14×12,3000,87.9 83.4,199 222,4.53 5,23.9 26.6,4.53 5,23.9 26.6,4.09 4.56,3.2,6.9
3,SRG 45C SRG 45GC,60,120,155,100,80,60,M12,10.5,,,107,14.5,15,52,10,16,7,7,5.2,B-PT1\/8,8,45,37.5,37,52.5,14×20×17,3090,91.9 87.8,192 216,3.49 3.9,20 22.5,3.49 3.9,20 22.5,4.98 5.87,3.7,11.6
4,SRG 45LC SRG 45GLC,60,120,190,100,80,60,M12,10.5,,,142,14.5,15,52,10,16,7,7,5.2,B-PT1\/8,8,45,37.5,37,52.5,14×20×17,3090,115 110,256 288,6.13 6.87,32.2 36.3,6.13 6.87,32.2 36.3,6.64 7.83,4.5,11.6
5,SRG 45SLC SRG 45GSLC,60,120,231.5,100,120,,M12,10.5,,,183.5,14.5,15,52,10,16,7,7,5.2,B-PT1\/8,8,45,37.5,37,52.5,14×20×17,3090,139 133,328 368,9.99 11.1,50 56,9.99 11.1,50 56,8.91 10,6.3,11.6
6,SRG 15XA SRG 15XGA,24,47,69.2,38,30,26,M5,(4.3),8,7.5,45,7,(8),20,4,4.5,4,6,2.9,PB107,4,15,16,15.5,30,4.5×7.5×5.3,3000,11.3 11.3,25.8 30.9,0.21 0.25,1.24 1.49,0.21 0.25,1.24 1.49,0.24 0.3,0.2,1.58
7,SRG 20XA SRG 20XGA,30,63,86.2,53,40,35,M6,(5.4),10,9,58,10,(10),25.4,5,4.5,4,6,2.9,PB107,4.6,20,21.5,20,30,6×9.5×8.5,3000,21 20.6,46.9 54.4,0.48 0.56,2.74 3.25,0.48 0.56,2.74 3.25,0.58 0.68,0.42,2.58
8,SRG 20XLA SRG 20XGLA,30,63,106.2,53,40,35,M6,(5.4),10,9,78,10,(10),25.4,5,4.5,4,6,2.9,PB107,4.6,20,21.5,20,30,6×9.5×8.5,3000,26.7 25.9,63.8 73.1,0.88 0.99,4.49 5.27,0.88 0.99,4.49 5.25,0.79 0.91,0.57,2.58
9,SRG 25XC SRG 25XGC,36,70,95.1,57,45,40,M8,6.8,,,65.5,9.5,10,31.5,5.5,12,6,7.3,5.2,B-M6F,4.5,23,23.5,23,30,7×11×9,3000,27.9 26.7,57.5 65,0.64 0.76,3.7 4.31,0.64 0.76,3.7 4.31,0.8 0.9,0.7,3.6
10,SRG 25XLC SRG 25XGLC,36,70,115.1,57,45,40,M8,6.8,,,85.5,9.5,10,31.5,5.5,12,6,7.3,5.2,B-M6F,4.5,23,23.5,23,30,7×11×9,3000,34.2 32.9,75 85,1.07 1.27,5.74 6.69,1.07 1.27,5.74 6.69,1.03 1.18,0.9,3.6
11,SRG 30XC SRG 30XGC,42,90,111,72,52,44,M10,8.5,,,75,12,14,37,6.5,12,6,7.5,5.2,B-M6F,5,28,31,26,40,9×14×12,3000,39.3 38.7,82.5 96.9,1.02 1.23,6.21 7.25,1.02 1.23,6.21 7.25,1.47 1.62,1.2,4.4
12,SRG 30XLC SRG 30XGLC,42,90,135,72,52,44,M10,8.5,,,99,12,14,37,6.5,12,6,7.5,5.2,B-M6F,5,28,31,26,40,9×14×12,3000,48.3 47.4,108 126,1.76 2.04,9.73 11.3,1.76 2.04,9.73 11.3,1.92 2.11,1.6,4.4
13,SRG 55C SRG 55GC,70,140,185,116,95,70,M14,12.5,,,129.2,17.5,18,60,12,16,9,8.5,5.2,B-PT1\/8,10,53,43.5,43,60,16×23×20,3060,131 125,266 300,5.82 6.5,33 37.2,5.82 6.5,33 37.2,8.19 9.55,5.9,15.8
14,SRG 55LC SRG 55GLC,70,140,235,116,95,70,M14,12.5,,,179.2,17.5,18,60,12,16,9,8.5,5.2,B-PT1\/8,10,53,43.5,43,60,16×23×20,3060,167 160,366 411,10.8 12.1,57 64,10.8 12.1,57 64,11.2 13.1,7.8,15.8
15,SRG 55SLC SRG 55GSLC,70,140,292,116,150,,M14,12.5,,,236.2,17.5,18,60,12,16,9,8.5,5.2,B-PT1\/8,10,53,43.5,43,60,16×23×20,3060,210 199,488 544,19.1 21,93.7 104,19.1 21,93.7 104,15.6 17.3,10.7,15.8
16,SRG 65C SRG 65GC,90,170,244.9,142,110,82,M16,14.5,,,171.7,19.5,20,78.5,17,16,9,13.5,5.2,B-PT1\/8,11.5,63,53.5,54,75,18×26×22,3000,219 214,441 511,12.5 14.8,72.8 83.8,12.5 14.8,72.8 83.8,16.8 19.4,12.5,23.7
17,SRG 65LC SRG 65GLC,90,170,303,142,110,82,M16,14.5,,,229.8,19.5,20,78.5,17,16,9,13.5,5.2,B-PT1\/8,11.5,63,53.5,54,75,18×26×22,3000,278 264,599 670,22.7 25.3,120 135,22.7 25.3,120 135,22.1 25.5,16.4,23.7
18,SRG 65SLC SRG 65GSLC,90,170,380,142,200,,M16,14.5,,,306.8,19.5,20,78.5,17,16,9,13.5,5.2,B-PT1\/8,11.5,63,53.5,54,75,18×26×22,3000,352 332,811 899,41.3 45.2,202 224,41.3 45.2,202 224,30.9 25.6,22.3,23.7
